Núm.,Tipo,Estado,Descripción,Usuario Reporta,Solicitado a,Auditor Global,Proceso,Fecha de Creación,Fecha Cierre,Norma y Numeral,Acción Eficaz,Acción Correctiva,%Avance Eficaz,%Avance Plan de Acciones
,,,,,,,,,,5. Procesos Prioritarios,,,,
1801,No Conformidad,Abierta,"4.7. Prevenir y reducir la frecuencia de caídas, en los servicios donde aplique: La ese cuenta con documento PT-ES-CA-06 protocolo para la prevención de caídas de pacientes el cual tiene como objetivo estandarizar acciones de prevención para disminuir el riesgo de caídas mediante acciones tales como mobiliario adecuado, camilla con barandas elevadas y con freno de seguridad, condiciones de orden y aseo, aplicación de escala de DOWNTON, se verifica socialización el 28-10-2024. El prestador en el...",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1802,No Conformidad,Abierta,5. El prestador de servicios de salud promueve la cultura de seguridad del paciente que involucra a todo el personal de manera sistemática con un enfoque educativo no punitivo mediante:5.2. Actividades donde se ilustra al paciente y sus allegados en el autocuidado de su seguridad: La ESE presenta documento PT-MI-HO-01 protocolo autocuidado paciente y sus cuidadores el cual tiene como objetivo desarrollar y fortalecer el conocimiento técnico en el autocuidado para la aplicación de prácticas segu...,Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1803,No Conformidad,Abierta,"6. El prestador de servicios de salud cuenta con información documentada de las actividades y procedimientos que se realizan en el servicio acordes con su objeto, alcance y enfoque diferencial, mediante guías de práctica clínica- GPC, procedimientos de atención, protocolos de atención y otros documentos que el prestador de servicios de salud determine, dicha información incluye talento humano, equipos biomédicos, medicamentos y dispositivos médicos e insumos requeridos: La ESE presenta las sigu...",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1804,No Conformidad,Abierta,"10. El prestador de servicios de salud cuenta con información documentada de la adopción, o adaptación o desarrollo de guías práctica clínica o protocolos basados en evidencia científica: No se cuenta con la informacion documentada.",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1805,No Conformidad,Abierta,"12. El prestador de servicios de salud cuenta con la siguiente información documentada:12.2. Aseo, limpieza y desinfección de áreas y superficies: El prestador presenta el Manual de limpieza y desinfección Código PTA-MI-SG 03 Versón1 fecha 2021. En el cual se evidencia la definidos los elementos de uso para ejecutar la actividad. Se evidencia en el recorrido que se encuentran las áreas limpias y en orden. Se recomienda definir las actividades de limpieza y desinfección en los servicio de alta r...",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1806,No Conformidad,Abierta,"12.4. Acciones para prevenir las flebitis infecciosas, químicas y mecánicas en los servicios donde se realicen procedimientos de venopunción: Se encuentra documentado ADMINISTRACIÓN DE MEDICAMENTOS PT-MI-UR-01 Código 2 fecha marzo del 2019. Cuenta con acciones preventivas para las flebitis, se verifica socialización sin embargo el prestador no presenta soportes de socialización al personal.",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1807,No Conformidad,Abierta,"12.6. Descontaminación por derrames de sangre u otros fluidos corporales: Cuenta con un MANUAL CONTROL DE DERRAME DE FLUIDOS CORPORALES Código MA -MI-SG02 Versión 2 Fecha Abril 2021, se verifica no cuenta con socialización, no contiene descripción del contenido del kit de derrames ni el talento humano responsable de ejecutar dicha actividad, personal no adherente.",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1808,No Conformidad,Abierta,"13.1. Buenas prácticas de esterilización de acuerdo con los procedimientos y técnicas que se utilicen, que describa como mínimo los siguientes aspectos: 13.1.1. Recibo de productos contaminados y entrega de material estéril: Cuentan con manual de buenas prácticas de esterilización, limpieza y desinfección. Código: MAES-CA-02 Versión 02 2019 en el cual no se evidencia el manejo de los aspectos de transporte, lubricación, empaque, etiquetado, verificación de la integridad del material estéril ni ...",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1809,No Conformidad,Abierta,"13.1.2. Transporte. 13.1.3. Lavado, secado y lubricación. 13.1.4. Empaque. 13.1.5. Etiquetado: Deben documentarlo en el manual de esterilización.",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1810,No Conformidad,Abierta,"13.1.8. Verificación de la integridad del material estéril. 13.1.9. Control de calidad que incluya el análisis de los reportes de dicho control, para la toma de medidas preventivas y correctivas: Deben documentarlo en el manual de esterilización.",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1811,No Conformidad,Abierta,"15. Los prestadores de servicios de salud tienen definidos procedimientos que garanticen el cumplimiento del no reúso de dispositivos médicos cuando el fabricante así lo haya establecido: Se evidencia 3 procedimientos de no reúso de dispositivos médicos, los cuales no describen el procedimiento realizado en el punto de atención. El documento debe ser revisado y describirlo de acuerdo a los servicios habilitados y los dispositivos utilizados.",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1812,No Conformidad,Abierta,"16. Hasta tanto el Ministerio de Salud y Protección Social regule la materia, el prestador de servicios de salud podrá reusar dispositivos médicos, siempre y cuando el fabricante de dichos dispositivos autorice su reúso. En tal caso, el prestador de servicios de salud cuenta con información documentada que defina: 16.1. Los procedimientos, siguiendo las recomendaciones del fabricante, para el reprocesamiento y control de calidad que demuestren la eficacia, desempeño y esterilidad del producto: ...",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1813,No Conformidad,Abierta,"16.2. Acciones de seguimiento a través de los comités de infecciones, de seguridad del paciente y del programa de tecnovigilancia, que garanticen que el dispositivo no ha perdido la eficacia y desempeño para el cual fue diseñado, ni exponga al riesgo de infecciones o complicaciones al usuario: Al momento de la verificación se evidencia el acto administratico donde implementan los comites institucionales mediante la resolución 128 de 2018 la cual se encuentra firmada, en el punto de atención no ...",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
